Date,Not indexed,Indexed,Impressions
2026-07-14,,,0
2026-07-15,,,0
2026-07-16,,,3
2026-07-17,,,1
2026-07-18,,,4
2026-07-19,,,1
2026-07-20,,,9
2026-07-21,,,2
2026-07-22,,,1
2026-07-23,,,1
2026-07-24,4,2,5
2026-07-25,9,10,2
2026-07-26,9,10,1
2026-07-27,9,10,6
2026-07-28,9,10,5
2026-07-29,9,10,7
2026-07-30,9,10,11
2026-07-31,9,10,6
2026-08-01,9,10,4
2026-08-02,9,10,17
2026-08-03,9,10,27
2026-08-04,9,10,27
2026-08-05,9,10,34
2026-08-06,9,10,32
2026-08-07,9,10,26
2026-08-08,11,14,18
2026-08-09,11,14,43
2026-08-10,11,14,54
2026-08-11,14,15,46
2026-08-12,14,15,44
2026-08-13,14,15,47
2026-08-14,14,15,39
2026-08-15,14,15,44
2026-08-16,14,15,20
2026-08-17,14,15,19
2026-08-18,13,16,37
2026-08-19,13,16,30
2026-08-20,13,16,33
2026-08-21,13,16,18
2026-08-22,23,16,31
2026-08-23,23,16,20
2026-08-24,23,16,35
2026-08-25,23,16,42
2026-08-26,23,16,59
2026-08-27,23,16,134
2026-08-28,23,16,114
